id,imo,from,fromEta,fromEtaTimestamp,fromEts,fromEtsTimestamp,to,toEta,toEtaTimestamp,toEts,toEtsTimestamp,hoursBetweenFromEtsAndtoEtaDepDest,atSea,inAnchorageBeforeEnteringDeparture,inDeparturePort,inDepartureBerth,inAnchorageLeavingDeparture,transitAnchorageTime,inAnchorageBeforeEnteringDestinationPort,inDestinationPort,inDestinationBerth,portPolygonsVisited,berthPolygonsVisited,anchoragePolygonsVisited,destinationComponent,query,approved,approvedBy,approvedDateTime,metricScore,pathScore,disapproved,disapprovedBy,disapprovedDateTime,duplicatedId
IMO{'7222607'}-IDBTM-2018-03-29IDJKT-2018-05-14,7222607,IDBTM,1522321620000,2018-03-29T11:07Z,1526025335000,2018-05-11T07:55:35Z,IDJKT,1526313281000,2018-05-14T15:54:41Z,1527464314000,2018-05-27T23:38:34Z,79,47,0,1028,0,0,32,287,31,0,2,0,2,Anchorage,7222607 AND positionreceived:>=1522321620000 AND positionreceived:<=1527349524000,0,,,0.2585133102333069,1,0,,,
IMO{'7222607'}-IDJKT-2017-09-13IDPDG-2017-09-17,7222607,IDJKT,1505346988000,2017-09-13T23:56:28Z,1505403973000,2017-09-14T15:46:13Z,IDPDG,1505655182000,2017-09-17T13:33:02Z,1505746887000,2017-09-18T15:01:27Z,69,56,0,15,0,0,12,0,25,0,2,0,1,Port,7222607 AND positionreceived:>=1505346988000 AND positionreceived:<=1505746887000,0,,,0.963723981725788,1,0,,,
IMO{'7222607'}-IDJKT-2017-09-22IDPDG-2017-09-26,7222607,IDJKT,1506095756000,2017-09-22T15:55:56Z,1506182396000,2017-09-23T15:59:56Z,IDPDG,1506452687000,2017-09-26T19:04:47Z,1506671499000,2017-09-29T07:51:39Z,75,75,0,0,0,0,0,0,60,0,1,0,0,Port,7222607 AND positionreceived:>=1506095756000 AND positionreceived:<=1506671499000,0,,,0.9705077599527441,1,0,,,
IMO{'7222607'}-IDJKT-2017-10-01IDANR-2017-10-02,7222607,IDJKT,1506873227000,2017-10-01T15:53:47Z,1506930841000,2017-10-02T07:54:01Z,IDANR,1506930841000,2017-10-02T07:54:01Z,1507045696000,2017-10-03T15:48:16Z,0,0,0,0,0,0,0,0,31,0,1,0,0,Port,7222607 AND positionreceived:>=1506873227000 AND positionreceived:<=1507045696000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2017-10-05IDANR-2017-10-13,7222607,IDJKT,1507190293000,2017-10-05T07:58:13Z,1507852310000,2017-10-12T23:51:50Z,IDANR,1507860452000,2017-10-13T02:07:32Z,1507937337000,2017-10-13T23:28:57Z,2,2,0,0,0,0,0,0,21,0,1,0,0,Port,7222607 AND positionreceived:>=1507190293000 AND positionreceived:<=1507937337000,0,,,0.963876581184987,0.8500000000000001,0,,,
IMO{'7222607'}-IDJKT-2017-10-23IDANR-2017-10-25,7222607,IDJKT,1508773776000,2017-10-23T15:49:36Z,1508860724000,2017-10-24T15:58:44Z,IDANR,1508893615000,2017-10-25T01:06:55Z,1509032568000,2017-10-26T15:42:48Z,9,9,0,0,0,0,0,0,38,0,1,0,0,Port,7222607 AND positionreceived:>=1508773776000 AND positionreceived:<=1509032568000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2017-11-08IDANR-2017-11-09,7222607,IDJKT,1510184883000,2017-11-08T23:48:03Z,1510238487000,2017-11-09T14:41:27Z,IDANR,1510261592000,2017-11-09T21:06:32Z,1510444295000,2017-11-11T23:51:35Z,6,6,0,0,0,0,0,0,50,0,1,0,0,Port,7222607 AND positionreceived:>=1510184883000 AND positionreceived:<=1510444295000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2017-12-04IDPDG-2017-12-08,7222607,IDJKT,1512402748000,2017-12-04T15:52:28Z,1512487754000,2017-12-05T15:29:14Z,IDPDG,1512742726000,2017-12-08T14:18:46Z,1512832160000,2017-12-09T15:09:20Z,70,70,0,0,0,0,0,0,24,0,1,0,0,Port,7222607 AND positionreceived:>=1512402748000 AND positionreceived:<=1512832160000,0,,,0.9874672942331358,1,0,,,
IMO{'7222607'}-IDJKT-2017-12-11IDANR-2017-12-13,7222607,IDJKT,1513036751000,2017-12-11T23:59:11Z,1513122692000,2017-12-12T23:51:32Z,IDANR,1513147653000,2017-12-13T06:47:33Z,1513234748000,2017-12-14T06:59:08Z,6,6,0,0,0,0,0,0,24,0,1,0,0,Port,7222607 AND positionreceived:>=1513036751000 AND positionreceived:<=1513234748000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2017-12-21IDANR-2017-12-23,7222607,IDJKT,1513900193000,2017-12-21T23:49:53Z,1513986890000,2017-12-22T23:54:50Z,IDANR,1514010280000,2017-12-23T06:24:40Z,1514071348000,2017-12-23T23:22:28Z,6,6,0,0,0,0,0,0,16,0,1,0,0,Port,7222607 AND positionreceived:>=1513900193000 AND positionreceived:<=1514071348000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-01-02IDANR-2018-01-04,7222607,IDJKT,1514937594000,2018-01-02T23:59:54Z,1514994374000,2018-01-03T15:46:14Z,IDANR,1515070505000,2018-01-04T12:55:05Z,1515108016000,2018-01-04T23:20:16Z,21,21,0,0,0,0,0,0,10,0,1,0,0,Port,7222607 AND positionreceived:>=1514937594000 AND positionreceived:<=1515108016000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-01-09IDANR-2018-01-11,7222607,IDJKT,1515541824000,2018-01-09T23:50:24Z,1515626363000,2018-01-10T23:19:23Z,IDANR,1515673056000,2018-01-11T12:17:36Z,1515743037000,2018-01-12T07:43:57Z,12,12,0,0,0,0,0,0,19,0,1,0,0,Port,7222607 AND positionreceived:>=1515541824000 AND positionreceived:<=1515743037000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-01-18IDPDG-2018-01-22,7222607,IDJKT,1516261489000,2018-01-18T07:44:49Z,1516319588000,2018-01-18T23:53:08Z,IDPDG,1516597802000,2018-01-22T05:10:02Z,1516919117000,2018-01-25T22:25:17Z,77,69,0,16,0,0,7,0,89,0,2,0,1,Port,7222607 AND positionreceived:>=1516261489000 AND positionreceived:<=1516919117000,0,,,0.90533969003287,0.9500000000000001,0,,,
IMO{'7222607'}-IDJKT-2018-01-27IDANR-2018-01-29,7222607,IDJKT,1517096965000,2018-01-27T23:49:25Z,1517155027000,2018-01-28T15:57:07Z,IDANR,1517210427000,2018-01-29T07:20:27Z,1517327831000,2018-01-30T15:57:11Z,15,15,0,0,0,0,0,0,32,0,1,0,0,Port,7222607 AND positionreceived:>=1517096965000 AND positionreceived:<=1517327831000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-02-08IDJKT-2018-02-15,7222607,IDJKT,1518105236000,2018-02-08T15:53:56Z,1518134392000,2018-02-08T23:59:52Z,IDJKT,1518738883000,2018-02-15T23:54:43Z,1518824942000,2018-02-16T23:49:02Z,167,144,0,8,0,0,22,16,7,0,2,0,2,Anchorage,7222607 AND positionreceived:>=1518105236000 AND positionreceived:<=1518796742000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-02-16IDANR-2018-02-17,7222607,IDJKT,1518796742000,2018-02-16T15:59:02Z,1518824942000,2018-02-16T23:49:02Z,IDANR,1518877505000,2018-02-17T14:25:05Z,1519170215000,2018-02-20T23:43:35Z,14,14,0,0,0,0,0,0,81,0,1,0,0,Port,7222607 AND positionreceived:>=1518796742000 AND positionreceived:<=1519170215000,0,,,0.971404366393226,1,0,,,
IMO{'7222607'}-IDJKT-2018-02-25IDJKT-2018-03-02,7222607,IDJKT,1519530585000,2018-02-25T03:49:45Z,1519631343000,2018-02-26T07:49:03Z,IDJKT,1520006125000,2018-03-02T15:55:25Z,1520232900000,2018-03-05T06:55Z,104,104,0,27,0,0,0,47,15,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1519530585000 AND positionreceived:<=1520178790000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-03-04IDANR-2018-03-05,7222607,IDJKT,1520178790000,2018-03-04T15:53:10Z,1520232900000,2018-03-05T06:55Z,IDANR,1520256725000,2018-03-05T13:32:05Z,1520840667000,2018-03-12T07:44:27Z,6,6,0,0,0,0,0,0,162,0,1,0,0,Port,7222607 AND positionreceived:>=1520178790000 AND positionreceived:<=1520840667000,0,,,0.9397344920532754,1,0,,,
IMO{'7222607'}-IDJKT-2018-03-17IDANR-2018-03-18,7222607,IDJKT,1521330827000,2018-03-17T23:53:47Z,1521382289000,2018-03-18T14:11:29Z,IDANR,1521417180000,2018-03-18T23:53Z,1521531252000,2018-03-20T07:34:12Z,9,9,0,0,0,0,0,0,31,0,1,0,0,Port,7222607 AND positionreceived:>=1521330827000 AND positionreceived:<=1521531252000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-03-25IDANR-2018-03-25,7222607,IDJKT,1521964356000,2018-03-25T07:52:36Z,1521993414000,2018-03-25T15:56:54Z,IDANR,1522022098000,2018-03-25T23:54:58Z,1522136279000,2018-03-27T07:37:59Z,7,7,0,0,0,0,0,0,31,0,1,0,0,Port,7222607 AND positionreceived:>=1521964356000 AND positionreceived:<=1522136279000,0,,,,,0,,,
IMO{'7222607'}-IDJKT-2018-05-26IDJKT-2018-06-02,7222607,IDJKT,1527349524000,2018-05-26T15:45:24Z,1527464314000,2018-05-27T23:38:34Z,IDJKT,1527910740000,2018-06-02T03:39Z,1528645057000,2018-06-10T15:37:37Z,124,124,0,31,0,0,0,180,23,0,2,0,1,Anchorage,7222607 AND positionreceived:>=1527349524000 AND positionreceived:<=1528559663000,0,,,,,0,,,IMO{'7222607'}-IDJKT-2018-06-09IDJKT-2018-06-14
